title,director,year,country,critic_score,user_score,poster,rt_url
Zombi 2,Lucio Fulci,1979,Italy,42,69%,https://resizing.flixster.com/XerBz0rv6DiTa0_yHXN49ZUufh4=/206x305/v1.bTsxMTI5MjkxMDtqOzE3MzIwOzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/zombi_2_1979
Zombie Holocaust,Francesco Martino,1979,Italy,,,,
Alien Dead,Fred Olen Ray,1980,United States,,8%,https://resizing.flixster.com/19Rah4XXqXFSYaPDsRoL5rlN7UY=/206x305/v1.bTsxMTM4NzE3NztqOzE3MzIxOzEyMDA7ODA3OzE0NDM,https://rottentomatoes.com/m/alien_dead
Alligator,Lewis Teague,1980,United States,67,48%,https://resizing.flixster.com/gh_QrS6Xm61rOAYFR4RPhgMlTOw=/206x305/v1.bTsxMTIxODMwNztqOzE3MzE5OzEyMDA7MTk5ODsyNjY0,https://rottentomatoes.com/m/alligator
Altered States,Ken Russell,1980,United States,86,71%,https://resizing.flixster.com/DbwDbo-y9U4TPUzEKhafX8oqibI=/206x305/v1.bTsxMTI5MTI5MjtqOzE3MzIwOzEyMDA7MTIwMDsxNjAw,https://rottentomatoes.com/m/altered_states
Antropophagus,Joe D'Amato,1980,Italy,,,,
Apocalypse domani,Antonio Margheriti,1980,Italy & Spain,,40%,https://resizing.flixster.com/fGtTOJbBkKv0V4hdbeDcPh5KOPo=/206x305/v1.bTsxMjE4NTYyOTtqOzE3Mjg2OzEyMDA7MjE0OzQwMA,https://rottentomatoes.com/m/cannibal_apocalypse
The Awakening,Mike Newell,1980,United States & United Kingdom,,23%,https://resizing.flixster.com/SuKAF-f-iClU2gfqXhAnMo8kL0k=/206x305/v1.bTsxMTIyMDQ1NTtqOzE3MzE5OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/the_awakening_1980
Beyond Evil,Herb Freed,1980,United States,,0%,https://resizing.flixster.com/4cmgO-2v8fnWcSlSltRu3fQVzd0=/206x305/v1.bTsxMjMyNjg3OTtqOzE3Mjg3OzEyMDA7MjEzOzI4NA,https://rottentomatoes.com/m/beyond_evil
The Boogeyman,Ulli Lommel,1980,United States,,,,
Cannibal Holocaust,Ruggero Deodato,1980,Italy,,,,
The Changeling,Peter Medak,1980,Canada & United States,76,80%,https://resizing.flixster.com/w2UPuEPQCC5evOudgUjf3t399vg=/206x305/v1.bTsxMTIwODQ5NjtqOzE3MzE5OzEyMDA7MTQ2NzsxOTU2,https://rottentomatoes.com/m/changeling
The Children,Max Kalmanowicz,1980,United States,,39%,https://resizing.flixster.com/EiC0--ZcIECFKqPfxMuyF59s8oE=/206x305/v1.bTsxMjEwMjAwMTtqOzE3Mjg1OzEyMDA7NTAwOzUwMA,https://rottentomatoes.com/m/the_children_1980
Christmas Evil,Lewis Jackson,1980,United States,80,32%,https://resizing.flixster.com/Q75YXW35EO0pXUv8M5iNp_HYnxM=/206x305/v1.bTsxMTYyMDI5MTtqOzE3MzI0OzEyMDA7NDExOzU0OA,https://rottentomatoes.com/m/christmas_evil
City of the Living Dead,Lucio Fulci,1980,Italy,55,56%,https://resizing.flixster.com/MPT60OLit1Y946hfrxWsvfS9Pqc=/206x305/v1.bTsxMTIxMDk4NDtqOzE3MzE5OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/city_of_the_living_dead
City of the Walking Dead,Umberto Lenzi,1980,Italy & Mexico & Spain,,,,
The Curse of King Tut's Tomb,Philip Leacock,1980,United Kingdom & United States,,,https://resizing.flixster.com/_VMl78ZKCghQ9Oq4PRpj-ewXnSc=/206x305/v1.bTsxMTI0NjIyODtqOzE3MzIwOzEyMDA7MTQ3NjsxOTY4,https://rottentomatoes.com/m/the_curse_of_king_tuts_tomb
Death Ship,Alvin Rakoff,1980,United Kingdom & Canada,20,34%,https://resizing.flixster.com/xAco4mDNMti2C3fRijijqzJ7NcY=/206x305/v1.bTsxMDg4NzI3MTtqOzE3MzE2OzEyMDA7MTQwOzE5Nw,https://rottentomatoes.com/m/death_ship
Demented,Arthur Jeffreys,1980,United States,,5%,https://resizing.flixster.com/WkS2qxLWFUFe4KE7FJsS34VJ7mo=/206x305/v1.bTsxMjMyOTUwNTtqOzE3Mjg3OzEyMDA7MjE2OzQwMA,https://rottentomatoes.com/m/1005639-demented
Don't Answer the Phone!,Robert Hammer,1980,United States,,18%,https://resizing.flixster.com/P7liaEdmkzylvSTKqR2cVFj0rm4=/206x305/v1.bTsxMTIwODk0ODtqOzE3MzE5OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/dont_answer_the_phone
Don't Go in the House,Joseph Ellison,1980,United States,,34%,https://resizing.flixster.com/NdE2UqL2nv3Iloy2JTE4UmEniuU=/206x305/v1.bTsxMTI5ODQzNztqOzE3MzIwOzEyMDA7OTk2OzEzMjg,https://rottentomatoes.com/m/dont_go_in_the_house
Eaten Alive!,Umberto Lenzi,1980,Italy & Spain,,,,
Effects,Dusty Nelson,1980,United States,,,https://resizing.flixster.com/hyH4hHsI7ePTQA_Km1Sk7XvIy6g=/206x305/v1.bTsxMjE2OTA3MztqOzE3Mjg1OzEyMDA7MTQ0OzIwNA,https://rottentomatoes.com/m/effects
Encounters of the Spooky Kind,Sammo Hung,1980,Hong Kong,,82%,https://resizing.flixster.com/bLy4jRu0RZTgtVHHMTV598eWwbw=/206x305/v1.bTs1MjE0MzY4O2o7MTcyOTU7MTIwMDsxNzA7MjMw,https://rottentomatoes.com/m/encounters_of_the_spooky_kind
Erotic Nights of the Living Dead,Joe D'Amato,1980,Italy,,,,
Fade to Black,Vernon Zimmerman,1980,United States,45,44%,https://resizing.flixster.com/AafLyWPnM-ro5QqqQE_xQyt9S_I=/206x305/v1.bTsxMTIxNjY1NztqOzE3MzE5OzEyMDA7MTkyNzsyOTM1,https://rottentomatoes.com/m/1006975-fade_to_black
The Fog,John Carpenter,1980,United States,,,,
Friday the 13th,Sean S. Cunningham,1980,United States,,63%,https://resizing.flixster.com/kf9W3ib61pfWM46hL8yza_8F3IQ=/206x305/v1.bTsxMTE5MDA2MjtqOzE3MzE5OzEyMDA7ODAwOzEyMDA,https://rottentomatoes.com/m/friday_the_13th_1980
The Godsend,Gabrielle Beaumont,1980,United Kingdom,,22%,https://resizing.flixster.com/IL5zT4WWHhsXxn7hJlGUe-8ej3E=/206x305/v1.bTsxMTE5MDk1MztqOzE3MzE5OzEyMDA7MjE0OzMxNw,https://rottentomatoes.com/m/the_godsend
The Haunting of M.,Anna Thomas,1980,United States,,,,
He Knows You're Alone,Armand Mastroianni,1980,United States,25,29%,https://resizing.flixster.com/DpB0Kc71MHWaQdp8C4X62S7873Y=/206x305/v1.bTsxMTIwOTk2NztqOzE3MzE5OzEyMDA7MTM5ODsxODY0,https://rottentomatoes.com/m/he_knows_youre_alone
The Hearse,George Bowers,1980,United States,,23%,https://resizing.flixster.com/I_HY487xSRDQDk_eWB-71QVTj4I=/206x305/v1.bTsxMTIwODAyODtqOzE3MzE5OzEyMDA7MTY0MTsyNTAw,https://rottentomatoes.com/m/the_hearse
Hell of the Living Dead,Bruno Mattei,1980,Italy & Spain,55,56%,https://resizing.flixster.com/MPT60OLit1Y946hfrxWsvfS9Pqc=/206x305/v1.bTsxMTIxMDk4NDtqOzE3MzE5OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/city_of_the_living_dead
The House on the Edge of the Park,Ruggero Deodato,1980,Italy,,,,
Humanoids from the Deep,Barbara Peters,1980,United States,56,41%,https://resizing.flixster.com/u2TDih8G46IA9xtirxWJDlk2Jus=/206x305/v1.bTsxMTIwODY1NTtqOzE3MzE5OzEyMDA7MTQ4NzsxOTgz,https://rottentomatoes.com/m/humanoids_from_the_deep
Inferno,Dario Argento,1980,Italy,64,60%,https://resizing.flixster.com/hq4k4vWDEbf2khjWpvtSUXGUO9s=/206x305/v1.bTsxMTI5MTEzNztqOzE3MzIwOzEyMDA7MTUzNjsyMzA0,https://rottentomatoes.com/m/inferno1980
Island Claws,Hernan Cardenas,1980,United States,,8%,https://resizing.flixster.com/Z_LZPzjGYCXPRr6eOJRGi_mf1F8=/206x305/v1.bTsxMjEzMzMyMztqOzE3Mjg1OzEyMDA7MjE0OzQwMA,https://rottentomatoes.com/m/island_claws
Long Island Cannibal Massacre,Nathan Schiff,1980,United States,,14%,https://resizing.flixster.com/-NxVpJ0kH0dqvcl-xP_BlHbnP24=/206x305/v1.bTsxMTIyNTU1ODtqOzE3MzE5OzEyMDA7MTUxMjsyMTI0,https://rottentomatoes.com/m/long_island_cannibal_massacre
Lost Souls,Mou Tun-fe,1980,Hong Kong,,33%,https://resizing.flixster.com/zOwXHiDfHWVI5o4DtUnZAfb51t8=/206x305/v1.bTsxMTA2MTU5MjtqOzE3MzE4OzEyMDA7MTQ0OzIwNQ,https://rottentomatoes.com/m/lost_souls_1980
Macabre,Lamberto Bava,1980,Italy,,40%,https://resizing.flixster.com/qJJ8-JshpUsxS8YGuSAFBod4TYA=/206x305/v1.bTsxMjMyNzU4NztqOzE3Mjg3OzEyMDA7MjE1OzQwMA,https://rottentomatoes.com/m/macabre
Mama Dracula,Boris Szulzinger,1980,Belgium,,11%,https://resizing.flixster.com/Csp1W6I8rXb2pi01CdxUOxC-ESg=/206x305/v1.bTsxMTU0NDY5MTtqOzE3MzIzOzEyMDA7NDIwOzc1Mw,https://rottentomatoes.com/m/mama_dracula
Maniac,William Lustig,1980,United States,43,58%,https://resizing.flixster.com/jjKHvoes1V7BrFIr-fdKu8nff5c=/206x305/v1.bTsxMTIwNTM5NDtqOzE3MzE5OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/maniac_1980
The Monster Club,Roy Ward Baker,1980,United Kingdom,71,39%,https://resizing.flixster.com/Iyzsazd0AQbIsucca9WXTHUudr8=/206x305/v1.bTsxMDg2MDM5MDtqOzE3MzE1OzEyMDA7MTEwOzE1MA,https://rottentomatoes.com/m/the_monster_club
Motel Hell,Kevin Connor,1980,United States,70,49%,https://resizing.flixster.com/RZISklcLPeiqfY3mj9w8EcEQO68=/206x305/v1.bTsxMDg5NTQ5OTtqOzE3MzE2OzEyMDA7MTE3ODsxNjc2,https://rottentomatoes.com/m/motel_hell
Mother's Day,Charles S. Kaufman,1980,United States,45,38%,https://resizing.flixster.com/HAjbQfCHgX0fKnntG-iM8OoeJnA=/206x305/v1.bTsxMTIxMTA3MDtqOzE3MzE5OzEyMDA7MjI1MDszMDAw,https://rottentomatoes.com/m/mothers_day
New Years Evil,Emmett Alston,1980,United States,,,,
Night of Death,Rapha&euml;l Delpard,1980,France,,57%,https://resizing.flixster.com/Uqyyx_ws2caAVQZNqRi53tgMMKY=/206x305/v1.bTsxMTA2NjQ4MztqOzE3MzE4OzEyMDA7MTQ0OzIwNA,https://rottentomatoes.com/m/night_of_death
Night of the Demon,James C. Watson,1980,United States,,,,
The Night of the Hunted,Jean Rollin,1980,France,,38%,https://resizing.flixster.com/d6-usIaoWqk6KDIjIwA-l96Ptqw=/206x305/v1.bTsxMjExNTM5NztqOzE3Mjg1OzEyMDA7Mjg0OzQwNQ,https://rottentomatoes.com/m/night_of_the_hunted
Nightmares,John D. Lamond,1980,Australia,,14%,https://resizing.flixster.com/TONnzZWJk0wDzgtkZld43Qq66S8=/206x305/v1.bTsxMDkxNTY1OTtqOzE3MzE2OzEyMDA7MjAwOzI4MQ,https://rottentomatoes.com/m/nightmares_1980
The Other Hell,Bruno Mattei,1980,Italy,,,,
Patrick vive ancora,Mario Landi,1980,Italy,,,,
Prom Night,Paul Lynch,1980,Canada & United States,42,35%,https://resizing.flixster.com/dV9wEw7W92BPeGAH7-uneC7MX80=/206x305/v1.bTsxMTIyNDg2MDtqOzE3MzE5OzEyMDA7MTQwNzsxODc2,https://rottentomatoes.com/m/1016834-prom_night
Return of the Wolfman,Paul Naschy,1980,Spain,,,,
Schizoid,D. Paulson,1980,United States,,16%,https://resizing.flixster.com/gGO4GEj0jFt5p9Qvkg_fRz5g_40=/206x305/v1.bTsxMjMzMDk2MjtqOzE3Mjg3OzEyMDA7MjE2OzQwMA,https://rottentomatoes.com/m/schizoid
Sex and Black Magic,Joe D'Amato,1980,Dominican Republic & Italy,,,,
The Shining,Stanley Kubrick,1980,United Kingdom & United States,87,93%,https://resizing.flixster.com/eXNC5RITS5FqagrZrrjt0EYY-Xg=/206x305/v1.bTsxMTE2ODAzMjtqOzE3MzE5OzEyMDA7ODAwOzEyMDA,https://rottentomatoes.com/m/shining
The Silent Scream,Denny Harris,1980,United States,,31%,https://resizing.flixster.com/KfeqofDsVQ5c8MJAPXtVcRcKk5U=/206x305/v1.bTsxMjExMTMzODtqOzE3Mjg1OzEyMDA7MjE1OzQwMA,https://rottentomatoes.com/m/1018997-silent_scream
Terror Train,Roger Spottiswoode,1980,Canada,36,38%,https://resizing.flixster.com/m_fkvKbEtgbRRkyZBjAVzAq_VUQ=/206x305/v1.bTsxMTYxNDk0NztqOzE3MzI0OzEyMDA7MTIzMDsxNzQw,https://rottentomatoes.com/m/terror_train
To All a Good Night,David Hess,1980,United States,,16%,https://resizing.flixster.com/MjKfKBSOta2S9EkLxdTkUQmN20k=/206x305/v1.bTsxMjMyNzY5NztqOzE3Mjg3OzEyMDA7MTIwOzIyMw,https://rottentomatoes.com/m/to_all_a_good_night
Toxic Zombies,Chuck McCrann,1980,United States,,12%,https://resizing.flixster.com/prXIWU9eMBlb1ZTofisYI3TUobE=/206x305/v1.bTsxMTIyOTc3NztqOzE3MzE5OzEyMDA7MTU1MDsyMjI0,https://rottentomatoes.com/m/toxic_zombies
The Unseen,Peter Foleg,1980,United States,,,,
The Watcher in the Woods,John Hough,1980,United States,,,,
We're Going to Eat You,Tsui Hark,1980,Hong Kong,,58%,https://resizing.flixster.com/VvwLumqLMO3DWfBJ_JlD98FeLoE=/206x305/v1.bTsxMDg1MTI0OTtqOzE3MzE1OzEyMDA7MTEwOzE1MA,https://rottentomatoes.com/m/we_are_going_to_eat_you
Zombie Holocaust,Marino Girolami,1980,Italy,,,,
Absurd,Joe D'Amato,1981,Italy,,38%,https://resizing.flixster.com/oZuK_yUjIazBrU0GrFr9Kg9hosc=/206x305/v1.bTsxMTA2NDU0ODtqOzE3MzE4OzEyMDA7MTQ0OzIwNA,https://rottentomatoes.com/m/horrible
The Alchemist,Charles Band,1981,United States,,,,
An American Werewolf in London,John Landis,1981,United States & United Kingdom,89,85%,https://resizing.flixster.com/lEQrgJNNyZd8mqVs4rxyWzDyMFI=/206x305/v1.bTsxMTIwODg2NDtqOzE3MzE5OzEyMDA7MTUwMzsyMDA0,https://rottentomatoes.com/m/an_american_werewolf_in_london
The Beyond,Lucio Fulci,1981,Italy,61,76%,https://resizing.flixster.com/xoUwUPjRCNCdbsIcsXiVK7MVrqk=/206x305/v1.bTsxMTIxMTE0ODtqOzE3MzE5OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/beyond
The Black Cat,Lucio Fulci,1981,Italy & United Kingdom,40,25%,https://resizing.flixster.com/dLd7SfUvzGp5DcFObDOcMrGU0Bw=/206x305/v1.bTsxMTM4MjI5NTtqOzE3MzIxOzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/the_black_cat_1981
Blood Beach,Jeffrey Bloom,1981,United States,0,23%,https://resizing.flixster.com/mPlbPzUG5CvIDrmTlZb0pXvVCKE=/206x305/v1.bTsxMjE5MDIzODtqOzE3Mjg2OzEyMDA7MjE4OzQwMA,https://rottentomatoes.com/m/blood_beach
Bloody Moon,Jes&uacute;s Franco,1981,Germany,,27%,https://resizing.flixster.com/DXaur8FRF-qlNi9sH46F0tjlDZ8=/206x305/v1.bTsxMjI1MjEyNjtqOzE3Mjg2OzEyMDA7MTUxMjsxOTQ2,https://rottentomatoes.com/m/bloody_moon
The Burial Ground,Andrea Bianchi,1981,Italy,,51%,https://resizing.flixster.com/iftias5JVd4JJOlluVY2f1k0xcE=/206x305/v1.bTsxMTIxMTIwMjtqOzE3MzE5OzEyMDA7MTI4MDs3MDM,https://rottentomatoes.com/m/le-notti-del-terrore
The Burning,Tony Maylam,1981,United States,86,61%,https://resizing.flixster.com/f1RXQB6xBeR1Ni7-GIBG8FbKpN0=/206x305/v1.bTsxMTI5NTM0OTtqOzE3MzIwOzEyMDA7MTU2MzsyMjM2,https://rottentomatoes.com/m/1184756-burning
Cannibal Ferox,Umberto Lenzi,1981,Italy & Spain,,45%,https://resizing.flixster.com/amSXFMygVZGVa5Uci3ozbOroJsQ=/206x305/v1.bTsxMTIxMTMzMTtqOzE3MzE5OzEyMDA7MTIwMDsxNjAw,https://rottentomatoes.com/m/cannibal_ferox
Cataclysm,Tom McGowan,1981,United States,,11%,https://resizing.flixster.com/qu0ltprM6vDP3l_kSDj_kkjlY90=/206x305/v1.bTsxMjE5MTg0MjtqOzE3Mjg2OzEyMDA7MjE0OzQwMA,https://rottentomatoes.com/m/cataclysm
Dark Night of the Scarecrow,Frank de Felitta,1981,United States,50,65%,https://resizing.flixster.com/36guQyBJybVwz_E9WSPX1t-aA_c=/206x305/v1.bTsxMTIyMDExODtqOzE3MzE5OzEyMDA7MTE4ODsxNzcz,https://rottentomatoes.com/m/dark_night_of_the_scarecrow
Dawn of the Mummy,Frank Agrama,1981,United States,,21%,https://resizing.flixster.com/coJsIMjOKUHSoUwRMI6t5X2JVOc=/206x305/v1.bTsxMTMwMTk4MztqOzE3MzIwOzEyMDA7MTQ4MjsxOTc2,https://rottentomatoes.com/m/dawn_of_the_mummy
Dead &amp; Buried,Gary Sherman,1981,United States,,,,
Deadly Blessing,Wes Craven,1981,United States,,,,
Demonoid,Alfredo Zacar&iacute;as,1981,Mexico,,27%,https://resizing.flixster.com/aRW2R7754DBAIG8i8vEUV7sEelk=/206x305/v1.bTsxMjMyOTg5NjtqOzE3Mjg3OzEyMDA7MjE1OzQwMA,https://rottentomatoes.com/m/demonoid
Docteur Jekyll et les femmes,Walerian Borowczyk,1981,France,,59%,https://resizing.flixster.com/SDPqT7rseoTH5_fa1sVARdH6EpM=/206x305/v1.bTsxMjE5MTg0NjtqOzE3Mjg2OzEyMDA7MTQwOzIwMA,https://rottentomatoes.com/m/docteur_jekyll_et_les_femmes
Don't Go Near the Park,Lawrence D. Foldes,1981,United States,,18%,https://resizing.flixster.com/MlQglheF1vCf2X0MMQC44oyjR_Y=/206x305/v1.bTsxMTIxNjE0MDtqOzE3MzE5OzEyMDA7MTYxMTsyMTQ4,https://rottentomatoes.com/m/dont_go_near_the_park
Don't Go in the Woods,James Bryan,1981,United States,,,,
The Entity,Sidney J. Furie,1981,United States,,,,
The Evil Dead,Sam Raimi,1981,United States,95,84%,https://resizing.flixster.com/nC-7Q-GREt__J3lZyahfOtA5sSw=/206x305/v1.bTsxMTE2NzUxMDtqOzE3MzE5OzEyMDA7ODAwOzEyMDA,https://rottentomatoes.com/m/the_evil_dead
Evilspeak,Eric Weston,1981,United States,,,,
Eyes of a Stranger,Ken Wiederhorn,1981,United States,,37%,https://resizing.flixster.com/MtY60-B7N1AOiNLcsd_OKjYh0FU=/206x305/v1.bTsxMTIxNTEyODtqOzE3MzE5OzEyMDA7MTUwNjsyMDA4,https://rottentomatoes.com/m/eyes_of_a_stranger
Fear No Evil,Frank LaLoggia,1981,United States,63,26%,https://resizing.flixster.com/ggsQU_189LbdaMdzLhb9dNyy0eA=/206x305/v1.bTsxMjIwMTkwMztqOzE3Mjg2OzEyMDA7MzM2OzQ3NQ,https://rottentomatoes.com/m/fear_no_evil_1981
Final Exam,Jimmy Huston,1981,United States,14,19%,https://resizing.flixster.com/G8vvm9TOvUFwniiRI5hsBwbwHss=/206x305/v1.bTsxMTU0NDg1MDtqOzE3MzIzOzEyMDA7NjY2OzEwNDM,https://rottentomatoes.com/m/final_exam_1981
Friday the 13th Part 2,Steve Miner,1981,United States,34,48%,https://resizing.flixster.com/6wCgHvQag4fYoYpr3wwD-ssvU-I=/206x305/v1.bTsxMTE3MjYwOTtqOzE3MzE5OzEyMDA7ODAwOzEyMDA,https://rottentomatoes.com/m/friday_the_13th_part_2
Full Moon High,Larry Cohen,1981,United States,,,,
Funeral Home,William Fruet,1981,Canada,,,,
The Funhouse,Tobe Hooper,1981,United States,64,38%,https://resizing.flixster.com/WGRFy7AWLwm-lGQD3WPp3JcoEoA=/206x305/v1.bTsxMTQ1MzkyMDtqOzE3MzIyOzEyMDA7MTIwMDsxNjAw,https://rottentomatoes.com/m/the_funhouse
Galaxy of Terror,Bruce D. Clark,1981,United States,33,29%,https://resizing.flixster.com/pAuRVOUI5BYXrUDxLAcNMSVHfgE=/206x305/v1.bTsxMTIxOTY3OTtqOzE3MzE5OzEyMDA7MTQ3NjsxOTY4,https://rottentomatoes.com/m/1008055-galaxy_of_terror
Ghost Story,John Irvin,1981,United States,35,43%,https://resizing.flixster.com/xeexbMNpZSI8afGy9F2SmxlDw7E=/206x305/v1.bTsxMTI5MjA1ODtqOzE3MzIwOzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/ghost_story
Ghostkeeper,Jim Makichuk,1981,Canada,,,,
Graduation Day,Herb Freed,1981,United States,50,19%,https://resizing.flixster.com/JIEwoSnXt_QOj7U46UoIZ34X6QU=/206x305/v1.bTsxMTYxOTg0MTtqOzE3MzI0OzEyMDA7NTAwOzczOA,https://rottentomatoes.com/m/graduation_day
Halloween II,Rick Rosenthal,1981,United States,31,63%,https://resizing.flixster.com/dCzFtLdiNTuS6QcG81EO_9ikR88=/206x305/v1.bTsxMTIwOTY5MTtqOzE3MzE5OzEyMDA7MTIwMDsxNjAw,https://rottentomatoes.com/m/halloween_ii
The Hand,Oliver Stone,1981,United States,14,28%,https://resizing.flixster.com/TD_NfXnqeEF9zDFqA5BWx4-y5Hk=/206x305/v1.bTsxMTYyMDQ5ODtqOzE3MzI0OzEyMDA7NjA2OzgwOA,https://rottentomatoes.com/m/1009131-hand
Happy Birthday to Me,J. Lee Thompson,1981,Canada,27,42%,https://resizing.flixster.com/Dq5KmHpyAiPVtuBKhobgfUuiG6Q=/206x305/v1.bTsxMTYxNTIyMDtqOzE3MzI0OzEyMDA7NDEwOzYwMA,https://rottentomatoes.com/m/happy_birthday_to_me
Hell Night,Tom DeSimone,1981,United States,57,47%,https://resizing.flixster.com/jLmikxglFGknNt01OfmxsLOVSPs=/206x305/v1.bTsxMTI5MTIwNDtqOzE3MzIwOzEyMDA7MTAwMDsxNDY4,https://rottentomatoes.com/m/hell_night
Home Sweet Home,Nettie Pena,1981,United States,,,,
The House by the Cemetery,Lucio Fulci,1981,Italy,38,49%,https://resizing.flixster.com/JjY8oU9rEcXE5s484VH8Y9-PPtc=/206x305/v1.bTsxMTIxMTE1OTtqOzE3MzE5OzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/the_house_by_the_cemetery
The Howling,Joe Dante,1981,United States,66,58%,https://resizing.flixster.com/o8wLwvOonfKcwZYL5F06RT7OeOc=/206x305/v1.bTsxMTIwODg5MTtqOzE3MzE5OzEyMDA7MTU2MDsyMDgw,https://rottentomatoes.com/m/howling
The Incubus,John Hough,1981,Canada,,,,
Inseminoid,Norman J. Warren,1981,United Kingdom,,15%,https://resizing.flixster.com/kM2pnzSpsz6640DpyiQPaEConxk=/206x305/v1.bTsxMjE4OTkzODtqOzE3Mjg2OzEyMDA7Mjg0OzQwNQ,https://rottentomatoes.com/m/inseminoid
Jaws of Satan,Bob Claver,1981,United States,,5%,https://resizing.flixster.com/2cFvbIsudAcUIkPiAdFVjrNMkkk=/206x305/v1.bTsxMTgwNjc5NDtqOzE3MjgxOzEyMDA7MjQwMDszMjAw,https://rottentomatoes.com/m/jaws_of_satan
Just Before Dawn,Jeff Lieberman,1981,United States,,53%,https://resizing.flixster.com/K2i4gx6vQMav07N9G2cBY7cuZHg=/206x305/v1.bTsxMTYxNDkwNDtqOzE3MzI0OzEyMDA7NTAwOzc1Mw,https://rottentomatoes.com/m/just_before_dawn
The Loch Ness Horror,Larry Buchanan,1981,United States,,,,
Midnight,John A. Russo,1981,United States,,,,
My Bloody Valentine,George Mihalka,1981,Canada,50,52%,https://resizing.flixster.com/E6q97boMw0SDLR0q8xEfhDPp-0Q=/206x305/v1.bTsxMTI5MTQ2MDtqOzE3MzIwOzEyMDA7MTk5ODsyNjY0,https://rottentomatoes.com/m/my_bloody_valentine
The Nesting,Armand Weston,1981,United States,,29%,https://resizing.flixster.com/u4Ner3yZqVPyGoD7PysJiI-JJXw=/206x305/v1.bTsxMTI0MTEzMztqOzE3MzIwOzEyMDA7MTUwOTsyMTU2,https://rottentomatoes.com/m/nesting
Night School,Ken Hughes,1981,United States,,28%,https://resizing.flixster.com/PM2mhcVZU3HnxutLwUZzkeayI_4=/206x305/v1.bTsxMTIzODE3ODtqOzE3MzIwOzEyMDA7MTUxMDsyMTgw,https://rottentomatoes.com/m/night_school
Nightmare,Romano Scavolini,1981,United States,,,,
Omen III: The Final Conflict,Graham Baker,1981,United Kingdom & United States,32,34%,https://resizing.flixster.com/vLGqa_qfdaaGHsmWbMPYH_3NEIs=/206x305/v1.bTsxMTIwOTU3NTtqOzE3MzE5OzEyMDA7MTIzOTsxNjUy,https://rottentomatoes.com/m/final_conflict_omen_iii
Piranha II: The Spawning,James Cameron,1981,Italy,7,10%,https://resizing.flixster.com/H4gaBy4s5IM9F6Np1U9fYxz5Hdo=/206x305/v1.bTsxMTIyMDA4NTtqOzE3MzE5OzEyMDA7OTAwOzEyMDA,https://rottentomatoes.com/m/piranha_2_the_spawning
The Pit,Lew Lehman,1981,Canada & United States,,38%,https://resizing.flixster.com/lLDdFCunvNzAW2U3Mrk3F7w5jPY=/206x305/v1.bTsxMjEwOTE5MjtqOzE3Mjg1OzEyMDA7NzMwOzEyNzA,https://rottentomatoes.com/m/the_pit_1981
Porno Holocaust,Joe D'Amato,1981,Italy,,,,
Possession,Andrzej Zulawski,1981,France & West Germany,,,,
The Prowler,Joseph Zito,1981,United States,60,50%,https://resizing.flixster.com/8xbwfB1m_pWu1uHxDI11lhtDTvw=/206x305/v1.bTsxMTYxNTg2NTtqOzE3MzI0OzEyMDA7Njk2OzEwNjI,https://rottentomatoes.com/m/1016854-prowler
Saturday the 14th,Howard R. Cohen,1981,United States,10,32%,https://resizing.flixster.com/DOak1U9KnAbeGffzFGfdLppqq0o=/206x305/v1.bTsxMjE4OTE5MjtqOzE3Mjg2OzEyMDA7MjI2OzQwMA,https://rottentomatoes.com/m/saturday_the_14th
Scared to Death,William Malone,1981,United States,,,,
Strange Behavior,Michael Laughlin,1981,Australia & New Zealand,75,41%,https://resizing.flixster.com/qFwLu0h2oPIfHDr4TdOxj_APpGY=/206x305/v1.bTsxMTIxNzA3NTtqOzE3MzE5OzEyMDA7MTA0OTsxNjAw,https://rottentomatoes.com/m/strange_behavior
Student Bodies,Mickey Rose,1981,United States,25,51%,https://resizing.flixster.com/6ek_KzXVwDvO6XK-tGuzTBSG-fA=/206x305/v1.bTsxMTI5MjQ5MTtqOzE3MzIwOzEyMDA7MTUzNjsyMDQ4,https://rottentomatoes.com/m/student_bodies
Suddenly at Midnight,Ko Young-nam,1981,South Korea,,,,
There Was a Little Girl,Ovidio G. Assonitis,1981,United States,,,,
Wolfen,Michael Wadleigh,1981,United States,73,46%,https://resizing.flixster.com/rOzTr4oDeFF_Su0vd14af68c-FQ=/206x305/v1.bTsxMTI5MTI0MztqOzE3MzIwOzEyMDA7MTk5ODsyNjY0,https://rottentomatoes.com/m/wolfen
The Aftermath,Steve Barkett,1982,United States,,,,
